,SCH_CODE,x,y,capacity,spa
1,MSE,-77.50525681544225,38.999454983547615,1003,403
2,CTY,-77.41408149311391,39.043385075680185,815,135
3,HUT,-77.52241661440974,38.91381683120323,862,356
5,BUF,-77.54418205805626,38.89985434727492,1039,82
6,LIN,-77.69669121842496,39.11864307532685,138,64
7,HLS,-77.51402547771166,39.02086837105288,779,420
9,ALG,-77.40996492790998,39.0567943037594,658,107
15,LIB,-77.53864560758251,38.91230095017908,989,299
16,EME,-77.71889017435372,39.13041148368929,549,96
17,CSP,-77.5485199296793,39.09003443269918,674,429
18,BAL,-77.53454432728242,39.12302388162297,730,262
20,CAT,-77.57494949153059,39.1091154129174,733,208
21,LEE,-77.54955807004,39.120408196338154,638,63
22,EVE,-77.57254032237438,39.090853633192864,632,61
27,SEL,-77.5009445746254,39.08409533523763,894,185
30,CED,-77.49046888349639,39.03872005676709,849,127
31,WAT,-77.60612353672563,39.18767872095749,286,11
32,HAM,-77.6627949251773,39.132338971908034,260,215
34,SYC,-77.57765272607966,39.037896821541146,842,301
35,PNB,-77.55597479814202,38.912495381993295,937,117
36,ASH,-77.47711412988453,39.05212606679004,730,256
38,TOL,-77.52460745549341,39.09651741141354,786,264
39,ARC,-77.55968144180414,38.93692964593327,924,87
41,BAN,-77.78814227586687,39.00375316675588,240,338
42,RHL,-77.76233736378919,39.14463431189279,658,424
43,ALD,-77.64513337095109,38.974386421156105,138,305
45,MIL,-77.51564879616208,39.011864513934455,930,183
48,LIT,-77.49931508520591,38.89831880927875,809,359
49,MTV,-77.73163299312158,39.15660133549201,829,398
51,BST,-77.51193383515317,39.057813576137384,845,273
52,HRZ,-77.38575558548627,39.04514848489734,793,126
54,LOW,-77.34958061807848,39.04186665945085,733,112
55,PMK,-77.39498140671137,39.03959002089088,707,142
56,MEA,-77.37135993305921,39.03621020179933,546,402
58,DOM,-77.47865258804927,39.0361833518367,743,145
61,SUG,-77.38297264363334,39.03681631053338,691,50
64,KWC,-77.68413975144885,39.13975690724424,783,181
66,STE,-77.40268643385569,39.00912181571839,602,60
67,RRD,-77.3844558053167,39.01494736601259,747,176
68,SAN,-77.51099353450743,39.03759121470433,697,136
71,GUI,-77.41593543694805,39.0006787130596,644,205
74,SUL,-77.39891527048174,38.99659399687179,622,276
75,FOR,-77.40113578140347,38.990363737512766,651,91
76,LEG,-77.5262288674373,38.97999647899702,1032,197
78,LOV,-77.6400508207529,39.265715529781644,582,231
79,LUC,-77.53425204927164,39.21343722823436,322,7
81,FHR,-77.54955370255979,39.131097912690464,822,85
84,NLE,-77.50349684907495,39.05710067280058,924,373
87,RLC,-77.502816123076,38.977852433567584,963,94
88,CCE,-77.52794638499648,38.97193964880088,940,401
89,STU,-77.45459355285733,39.04242979833686,885,316
93,DIS,-77.47831432703651,39.019208953967414,1026,199
95,CRE,-77.51680100543989,38.89468542374756,983,296
97,FDE,-77.55311733882986,39.10723698363695,882,18
100,MTE,-77.54396205824902,38.977834660378214,934,26
