,SCH_CODE,x,y,capacity,spa
8,LCH,-77.5794829169081,39.11098755541938,1361,208
11,DMH,-77.37367900784089,39.02632229943012,1423,310
25,BWH,-77.52978077822715,38.994641636502685,1855,320
46,PFH,-77.39038038259227,39.0520356211917,1438,108
50,WHS,-77.7271025535252,39.1542120436923,1669,398
53,SBH,-77.50874210817089,39.0488677802508,1651,374
59,HTH,-77.56978819553257,39.08316135961837,1687,426
60,BRH,-77.49150710171267,39.022273145678625,1787,161
62,PVH,-77.40076630389628,39.014874425058395,1498,60
65,LVH,-77.70277682505485,39.14012599069048,1346,182
73,FHS,-77.53506930243891,38.913877827955496,1858,300
86,RRH,-77.50094944365738,38.97800083183458,1935,94
91,THS,-77.55879841544109,39.13302721656111,1722,85
92,JCH,-77.5657883280879,38.93247569151774,2089,303
98,RVH,-77.4899395159469,39.09141733072292,1749,246
