,SCH_CODE,x,y,capacity,spa
10,RBM,-77.39842884870947,39.05301712222235,1216,107
12,SRM,-77.3730666005091,39.028281396548806,1264,310
13,JLS,-77.5700511945378,39.090321263226436,1255,425
14,BAM,-77.55195817723494,38.98010221549598,1269,26
24,BRM,-77.7073305277141,39.12807660867957,1187,38
26,BEM,-77.4904978996393,39.09029253201429,1242,246
28,MMS,-77.54688958411661,38.92531105266105,1388,343
40,HPM,-77.52266192363287,39.09473990580513,1197,264
44,ERM,-77.51594028592001,39.01538648609085,1260,183
57,FWS,-77.47276333546974,39.03694859480348,1241,386
63,HRM,-77.68398275562606,39.137317906576016,1224,181
69,STM,-77.40592956444516,39.00094214362277,1169,24
77,JML,-77.52190362188092,38.897421283099746,1452,296
80,SMM,-77.54805279755561,39.13313719780424,1215,85
85,SHM,-77.51234545748599,38.96955807182371,1339,95
94,TMS,-77.50281039666476,39.05489303844146,1269,248
