,x,y,TOTAL_KG_5,TOTAL_6_8,TOTAL_9_12,ELEM_CODE,INT_CODE,HIGH_CODE
0,-77.65436905315352,39.26518983626948,23,10,14,LOV,HRM,WHS
1,-77.62859006088554,39.29225808642739,32,22,41,LOV,HRM,WHS
2,-77.66816449226263,39.13889452058356,10,3,4,HAM,BRM,LVH
3,-77.7579176469022,39.131155305080384,146,53,60,MTV,HRM,WHS
4,-77.6746786967561,39.289650280410925,76,40,71,LOV,HRM,WHS
5,-77.72119679792151,39.294138114895674,14,11,28,MTV,HRM,WHS
6,-77.53950715844418,39.24794830367874,19,8,20,LUC,SMM,THS
7,-77.5006211781173,39.225820336889115,237,114,134,LUC,SMM,THS
8,-77.57782125026128,39.23478539618533,6,1,5,WAT,HRM,WHS
9,-77.58103688664154,39.206752316280095,38,23,47,WAT,HRM,WHS
10,-77.51904784133367,39.19220423501924,19,17,26,LUC,SMM,THS
11,-77.59293115072687,39.187205816772185,33,21,37,WAT,HRM,WHS
12,-77.64651486436749,39.184017421382364,22,22,45,WAT,HRM,WHS
13,-77.63632152091796,39.25945025142388,7,4,1,LOV,HRM,WHS
14,-77.68337019560012,39.17319629186434,12,10,16,KWC,HRM,WHS
15,-77.62235384597493,39.167003170509346,17,16,17,WAT,HRM,WHS
16,-77.49469428579701,39.10346361423549,67,57,91,FHR,HPM,HTH
17,-77.51162539285708,39.095071855020954,38,22,37,TOL,HPM,HTH
18,-77.55107331142685,39.10616095438978,54,19,22,FDE,JLS,LCH
19,-77.51983950951814,38.9213199037567,150,76,90,LIB,JML,FHS
20,-77.5746218591348,38.945184651457886,144,59,34,BUF,MMS,JCH
21,-77.52709135282306,38.92683505363266,167,62,63,LIB,MMS,JCH
22,-77.38722440256157,39.028921381246796,100,51,80,SUG,SRM,DMH
23,-77.42235432982575,39.01743092047124,223,140,165,STE,RBM,PFH
24,-77.40690151519871,39.0046171389689,153,77,97,STE,STM,PVH
25,-77.69902939036486,39.13197682380751,120,75,100,EME,BRM,LVH
26,-77.54911244634717,38.979841986311676,108,34,34,MTE,BAM,RRH
27,-77.54439455554967,38.968918592063545,130,40,36,MTE,BAM,RRH
28,-77.55641548742767,39.08875726889168,37,21,19,FDE,JLS,LCH
29,-77.52521348392015,39.101324868110915,0,0,0,TOL,HPM,HTH
30,-77.6029065790443,39.16159074552213,11,5,16,WAT,HRM,WHS
31,-77.66788081819178,39.15487369299596,30,28,49,KWC,BRM,LVH
32,-77.68277119893878,39.16020185187714,0,0,0,KWC,HRM,WHS
33,-77.68609511877146,39.15320327866657,26,21,20,KWC,HRM,WHS
34,-77.63544941184391,39.14155009728693,4,3,7,KWC,BRM,LVH
35,-77.72499180598146,39.1406160629172,39,30,53,MTV,BRM,LVH
36,-77.6568465586614,39.13953884248853,6,3,6,HAM,BRM,LVH
37,-77.5340497792731,39.130440357672924,167,104,151,BAL,SMM,THS
38,-77.7123950640815,39.13139022641594,108,70,103,EME,BRM,LVH
39,-77.72858353807474,39.13221993574229,10,3,0,MTV,BRM,LVH
40,-77.65261932818379,39.13369181155787,2,1,1,HAM,BRM,LVH
